HC63,HC64,HC70,HC71,HC72,HC73,V238,M11,M13,M45,M55,M62
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,2,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,2,1,1,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
17,2,18,-75,-140,-139,0,202,3,1,0,1
38,1,15,-423,9998,9998,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
20,2,-471,61,9998,9998,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,1,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,1,-498,-210,83,188,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,1,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,2,1,0,1
38,1,9998,-263,9998,9998,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,2,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
58,3,204,2,-182,-189,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,2,0,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
35,2,-160,-151,-106,-78,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,1,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,1,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,2,1,1,1
38,2,-74,-76,-14,-6,0,201,3,1,0,1
38,2,-74,-76,-14,-6,0,202,2,1,1,1
38,2,-74,-76,-14,-6,0,202,2,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
37,3,-251,-193,-64,-39,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,1,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,7,1,0,1
38,2,-74,-76,-14,-6,0,202,3,0,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,1,0,1,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
45,2,-179,-204,-146,-132,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
27,2,-351,-198,-24,23,0,202,3,1,0,1
38,1,-269,-145,25,57,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,2,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,1,1,1,1
38,2,-74,-76,-14,-6,0,202,2,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,1,132,-46,-143,-168,0,202,3,1,1,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,1,85,299,386,378,0,202,3,1,0,1
23,4,-230,-164,-35,-15,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,1,67,-359,9998,9998,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
112,2,213,-102,-274,-320,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,6,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,2,1,1,1
38,2,-74,-76,-14,-6,0,202,1,1,0,0
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,1,-298,-340,-237,-212,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
76,3,261,246,161,150,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,5,0,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
49,3,9998,-181,9998,9998,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,7,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,0
38,2,-74,-76,-14,-6,2,202,3,1,1,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,2,1,0,1
38,2,-74,-76,-14,-6,0,202,1,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,1,-206,-350,-368,-339,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,2,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,1,-40,-386,9998,9998,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,1,202,3,0,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,2,1,1,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
15,2,-306,-45,168,213,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
29,3,45,-18,-48,-58,0,202,2,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
13,3,9998,-309,105,227,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,1,-305,-303,-164,-136,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
56,4,-197,-115,-23,14,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,2,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,1,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,2,1,1,1
