HC63,HC64,HC70,HC71,HC72,HC73,V238,M11,M13,M45,M55,M62
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,1,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,2,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,2,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
38,2,-74,-76,-14,-6,0,202,3,1,0,1
